no,elapsed_ms,waktu,sample_id,batch_id,label,mq135_ratio,mq3_ratio,mq4_ratio,tgs_ratio,suhu,lembap
121,60212,23.38.03,1,NASI-1,LAYAK,1.0135,0.9939,1.0658,1.0924,31.3,100.0
122,60622,23.38.03,1,NASI-1,LAYAK,1.0103,0.989,1.0572,1.0776,31.3,100.0
123,61236,23.38.04,1,NASI-1,LAYAK,1.0,0.9813,1.0523,1.0735,31.3,100.0
124,61648,23.38.05,1,NASI-1,LAYAK,1.0032,0.9834,1.0558,1.0792,31.3,100.0
125,62263,23.38.05,1,NASI-1,LAYAK,1.0016,0.9862,1.0565,1.0784,31.3,100.0
126,62670,23.38.06,1,NASI-1,LAYAK,1.0032,0.9876,1.0594,1.0809,31.3,100.0
127,63284,23.38.06,1,NASI-1,LAYAK,1.0063,0.9918,1.0615,1.08,31.3,100.0
128,63696,23.38.07,1,NASI-1,LAYAK,1.0176,0.9961,1.0708,1.1007,31.3,100.0
129,64309,23.38.07,1,NASI-1,LAYAK,1.0071,0.9883,1.0594,1.0768,31.3,100.0
130,64718,23.38.08,1,NASI-1,LAYAK,1.0216,0.9982,1.0744,1.099,31.3,100.0
131,65127,23.38.08,1,NASI-1,LAYAK,1.0071,0.9848,1.0622,1.0833,31.3,100.0
132,65744,23.38.09,1,NASI-1,LAYAK,1.0047,0.9862,1.0565,1.0825,31.3,100.0
133,66152,23.38.09,1,NASI-1,LAYAK,1.0087,0.9876,1.0636,1.0866,31.3,100.0
134,66766,23.38.10,1,NASI-1,LAYAK,1.0176,0.9932,1.0679,1.0882,31.3,100.0
135,67176,23.38.10,1,NASI-1,LAYAK,1.0087,0.9876,1.0636,1.0817,31.2,100.0
136,67791,23.38.11,1,NASI-1,LAYAK,1.0047,0.9848,1.0565,1.08,31.2,100.0
137,68200,23.38.11,1,NASI-1,LAYAK,1.0071,0.9848,1.0629,1.0882,31.2,100.0
